Created as New Dataset,ABS black tube
cm-1,%T
2901.00,89.51
2900.00,89.70
2899.00,89.88
2898.00,90.05
2897.00,90.21
2896.00,90.37
2895.00,90.52
2894.00,90.66
2893.00,90.81
2892.00,90.96
2891.00,91.10
2890.00,91.25
2889.00,91.39
2888.00,91.53
2887.00,91.67
2886.00,91.80
2885.00,91.92
2884.00,92.04
2883.00,92.15
2882.00,92.25
2881.00,92.34
2880.00,92.42
2879.00,92.49
2878.00,92.54
2877.00,92.58
2876.00,92.61
2875.00,92.63
2874.00,92.64
2873.00,92.65
2872.00,92.65
2871.00,92.65
2870.00,92.63
2869.00,92.61
2868.00,92.57
2867.00,92.52
2866.00,92.46
2865.00,92.39
2864.00,92.31
2863.00,92.21
2862.00,92.11
2861.00,92.00
2860.00,91.89
2859.00,91.78
2858.00,91.67
2857.00,91.56
2856.00,91.44
2855.00,91.33
2854.00,91.23
2853.00,91.16
2852.00,91.12
2851.00,91.14
2850.00,91.21
2849.00,91.33
2848.00,91.49
2847.00,91.68
2846.00,91.88
2845.00,92.08
2844.00,92.29
2843.00,92.51
2842.00,92.73
2841.00,92.94
2840.00,93.16
2839.00,93.37
2838.00,93.58
2837.00,93.78
